,sent,c_id,comment_author,thread_id,comment_date,pattern_matched,text_short,negations,amod_subj_xcomp_lemma,amod_subj_xcomp_lower,compound_subj_xcomp_lemma,compound_subj_xcomp_lower,pos_subj_xcomp_lemma,pos_subj_xcomp_lower,subject_xcomp_lemma,subject_xcomp_lower,verb_xcomp_lemma,verb_xcomp_lower,verb_phrase_xcomp,verb_tense_xcomp,amod_subj_lemma,amod_subj_lower,compound_subj_lemma,compound_subj_lower,pos_subj_lemma,pos_subj_lower,subject_lemma,subject_lower,subject_active,verb_lemma,verb_lower,verb_phrase,verb_tense,dobj_amod_lemma,dobj_amod_lower,compound_dobj_lemma,compound_dobj_lower,pos_dobj_lemma,pos_dobj_lower,dobj_lemma,dobj_lower
3235,instead of your poor lo getting 2+ shots at a visit tell the dr you want one and do them on a delayed schedule.,c2459417418,Babyjoy712,a50553772,06/20/2014,schedule_noun,you want one and do them on a delayed schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,do,do,do,Infinite,delay,delayed,,,,,schedule,schedule
3236,i was planning to delay it until he was two but measles is very prevalent in the amish community that my grandpa visits weekly and we occasionally visit.,c2466079871,parkersgirl85,a51769897,08/20/2014,delay_verbs,i was planning to delay it,1,,,,,,,i,i,plan,planning,was planning,PastContinuous,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,it,it
3237,i do know ours will not see you if you do not plan to vax on schedule but a woman i know had a delayed schedule which her pedi supported.,c2304416046,AbbyReturns,a26519159,02/22/2011,schedule_noun,you do not plan to vax on schedule,-1,,,,,,,you,you,plan,plan,do plan,PresentSimple,,,,,,,,,,vax,vax,to vax,Infinite,,,,,,,schedule,schedule
3238,i do know ours will not see you if you do not plan to vax on schedule but a woman i know had a delayed schedule which her pedi supported.,c2304416046,AbbyReturns,a26519159,02/22/2011,schedule_noun,woman i know had a delayed schedule,1,,,,,,,,,,,,,,,,,,,woman,woman,ACTIVE,have,had,had,PastSimple,delayed,delayed,,,,,schedule,schedule
3239,"mine has had all hers so far & on schedule, & she has never had 5 shots at once.",c2409698395,Chas10&Salem,a39678886,02/02/2013,schedule_noun,mine has had all hers so far & on schedule,1,,,,,,,,,,,,,,,,,,,mine,mine,ACTIVE,have,had,has had,PresentPerfect,,,,,,,schedule,schedule
3240,we are all exhausted with the schedule changing every week so i am treating us to taco bell.,c2554268434,SnarkyBargains,a66356968,05/05/2017,schedule_noun,we are all exhausted with the schedule,1,,,,,,,,,,,,,,,,,,,we,we,PASSIVE,exhaust,exhausted,are exhausted,PresentPassive,,,,,,,schedule,schedule
3241,it is my ped's normal schedule for her patients.,c2181996765,momofWyatt+baby,a23474003,07/12/2010,schedule_noun,it is my ped's normal schedule,1,,,,,,,,,,,,,,,,,,,it,it,ACTIVE,be,is,is,PresentSimple,normal,normal,,,ped,ped,schedule,schedule
3242,the rotovirus shot is not on the schedule at my ped's office and not required in our area.,c2181996765,momofWyatt+baby,a23474003,07/12/2010,schedule_noun,rotovirus shot is not on the schedule,-1,,,,,,,,,,,,,,,rotovirus,rotovirus,,,shoot,shot,ACTIVE,be,is,is,PresentSimple,,,,,,,schedule,schedule
3243,"babies receive c=vaccines on a schedule, and many of the vaccines require multiple doses given over time for them to be effective.",c2211110865,superdairycow,a24284585,09/13/2010,schedule_noun,babies receive c=vaccines on a schedule,1,,,,,,,,,,,,,,,,,,,baby,babies,ACTIVE,receive,receive,receive,PresentSimple,,,,,,,schedule,schedule
3244,"also, we follow the vaccine schedule.",c2543242539,Sunflower827,a64589344,10/28/2016,schedule_noun,we follow the vaccine schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,follow,follow,follow,PresentSimple,,,vaccine,vaccine,,,schedule,schedule
3245,we have vaccinated dear son on schedule.,c2083140429,BensMommy910,a18566785,11/18/2009,schedule_noun,we have vaccinated dear son on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaccinate,vaccinated,have vaccinated,PresentPerfect,,,,,,,schedule,schedule
3246,the doctor answered all of our questions and said that every doctor in the practice vaccinates their children on schedule and feels very strongly about them.,c2083140429,BensMommy910,a18566785,11/18/2009,schedule_noun,doctor in the practice vaccinates their children on schedule,1,,,,,,,,,,,,,,,,,,,doctor,doctor,ACTIVE,vaccinate,vaccinates,vaccinates,PresentSimple,,,,,,,schedule,schedule
3247,i do not delay or spread out my kids' vaccines based on research i have done in the past.,c2405506130,brownm3412,a38736055,12/26/2012,delay_verbs,i do not delay,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,do delay,PresentSimple,,,,,,,,
3248,"for the record, my kid is vaccinated on schedule.",c2059870080,The_Princess_Mommy,a14357145,08/31/2009,schedule_noun,my kid is vaccinated on schedule,1,,,,,,,,,,,,,,,,,my,my,kid,kid,PASSIVE,vaccinate,vaccinated,is vaccinated,PresentPassive,,,,,,,schedule,schedule
3249,look up dr bob's schedule if you want to delay.,c2506852570,Coral99,a58807330,09/01/2015,delay_verbs,you want to delay,1,,,,,,,you,you,want,want,want,PresentSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
3250,little one had a possible reaction to her six month shots and we decided to delay the rest til she has old enough to tell us if she has any symptoms.,c2412618271,MarinaPDX,a40374232,03/02/2013,delay_verbs,we decided to delay the rest,1,,,,,,,we,we,decide,decided,decided,PastSimple,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,rest,rest
3251,"i can see how if you just trust the doctors and do the normal schedule how you would view this as minor, but it is not to us that have done hours and hours of research.",c2166213155,TravelNerd,a23018249,06/06/2010,schedule_noun,you just trust the doctors and do the normal schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,do,do,do,Infinite,normal,normal,,,,,schedule,schedule
3252,no one has a problem with you spacing out vaccines.,c2466879172,SamJLmmwr,a52000615,08/28/2014,delay_verbs,you spacing out vaccines,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,space,spacing,spacing,Gerundive,,,,,,,vaccine,vaccines
3253,our pedi has a schedule that she likes to follow.,c2451496768,victoriasooners,a48977212,04/07/2014,schedule_noun,our pedi has a schedule,1,,,,,,,,,,,,,,,,,our,our,pedi,pedi,ACTIVE,have,has,has,PresentSimple,,,,,,,schedule,schedule
3254,we vax on schedule.,c2362814833,christina_banks1859,a30003407,10/26/2011,schedule_noun,we vax on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vax,vax,vax,PresentSimple,,,,,,,schedule,schedule
3255,"we vax on schedule too, but lo had a hep-b booster...",c2508930258,Xpltrn,a59131555,09/21/2015,schedule_noun,we vax on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vax,vax,vax,PresentSimple,,,,,,,schedule,schedule
3256,i will vaccinate on schedule but no flu shot.,c2242851625,Nightmomma,a25107699,11/14/2010,schedule_noun,i will vaccinate on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vaccinate,vaccinate,will vaccinate,Future,,,,,,,schedule,schedule
3257,"i do agree with other pp that you do need to know which specific outbreaks are in your area but if those require boosters that are a year off, it does not matter anyway and you can follow the schedule from the book bc that first shot just gets her started and gives little actual immunity, the booster is required.",c2392108665,Mom2NinoAndAlly,a35588623,08/12/2012,schedule_noun,you can follow the schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,follow,follow,can follow,Conditional,,,,,,,schedule,schedule
3258,"if you have concerns but want the vaccines, most pedis have a delayed schedule",c2369792328,righty_tighty,a31126671,01/11/2012,schedule_noun,most pedis have a delayed schedule,1,,,,,,,,,,,,,most,most,,,,,pedis,pedis,ACTIVE,have,have,have,PresentSimple,delay,delayed,,,,,schedule,schedule
3259,he lists an alternative vax schedule and a selective schedule.,c2383158357,phill454bb,a33517636,05/21/2012,schedule_noun,he lists an alternative vax schedule,1,,,,,,,,,,,,,,,,,,,he,he,ACTIVE,list,lists,lists,PresentSimple,alternative,alternative,vax,vax,,,schedule,schedule
3260,he lists an alternative vax schedule and a selective schedule.,c2383158357,phill454bb,a33517636,05/21/2012,schedule_noun,he lists an alternative vax schedule and a selective schedule,1,,,,,,,,,,,,,,,,,,,he,he,ACTIVE,list,lists,lists,PresentSimple,selective,selective,,,,,schedule,schedule
3261,"i put a 6 month delay to the suggested vaccines schedule, hoping that my lo will be strong enough to handle any adverse impact",c2419472084,Redcubia,a41910055,05/11/2013,schedule_noun,i put a 6 month delay to the suggested vaccines schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,put,put,put,PastSimple,suggest,suggested,vaccine,vaccines,,,schedule,schedule
3262,i am going to do a delayed schedule and not allow more than 1 or 2 vaccinations at a time.,c2187064260,MrsConos,a23609881,07/22/2010,schedule_noun,i am going to do a delayed schedule,1,,,,,,,i,i,go,going,am going,PresentContinuous,,,,,,,,,,do,do,to do,Infinite,delayed,delayed,,,,,schedule,schedule
3263,"and really seriously to each his own on this situation, because i know its a tough one, but we are going to stick to the schedule.",c2069629069,babyplease17,a16305335,10/06/2009,schedule_noun,we are going to stick to the schedule,1,,,,,,,we,we,go,going,are going,PresentContinuous,,,,,,,,,,stick,stick,to stick,Infinite,,,,,,,schedule,schedule
3264,my second dose of hep b was delayed an extra week because i was sick on the original date.,c2322981264,thecomputergremlin,a27061349,03/31/2011,delay_verbs,my second dose of hep b was delayed,1,,,,,,,,,,,,,second,second,,,my,my,dose,dose,PASSIVE,delay,delayed,was delayed,PastPassive,,,,,,,,
3265,"however, if the children are the same age then they would be on the same schedule and it would not make a difference.",c2364761233,bbsmamashell,a30295601,11/16/2011,schedule_noun,they would be on the same schedule,1,,,,,,,,,,,,,,,,,,,they,they,ACTIVE,be,be,would be,Conditional,same,same,,,,,schedule,schedule
3266,"they are on an extended schedule, which i am happy to share via pan.",c2498953701,BedStuymommy,a57493258,06/18/2015,schedule_noun,they are on an extended schedule,1,,,,,,,,,,,,,,,,,,,they,they,ACTIVE,be,are,are,PresentSimple,extended,extended,,,,,schedule,schedule
3267,i read dr sears' vaccine book and we have chosen to vax on a delayed schedule.,c2398941998,Sadie_Lee,a37238929,10/19/2012,schedule_noun,we have chosen to vax on a delayed schedule,1,,,,,,,we,we,choose,chosen,have chosen,PresentPerfect,,,,,,,,,,vax,vax,to vax,Infinite,delay,delayed,,,,,schedule,schedule
3268,i have no problem going into the doctor for vaccine-only visits so that we can space them and be sure if there is a reaction we know which vaccine it is to.,c2398941998,Sadie_Lee,a37238929,10/19/2012,delay_verbs,we can space them,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,space,space,can space,Conditional,,,,,,,them,them
3269,both ods and little one have been vaccinated according to the cdc's schedule.,c2186204783,JKSchmier,a23577515,07/20/2010,schedule_noun,ods and little one have been vaccinated according to the cdc's schedule,1,,,,,,,,,,,,,,,,,,,od,ods,PASSIVE,vaccinate,vaccinated,have been vaccinated,PresentPerfect,,,,,cdc,cdc,schedule,schedule
3270,"i would love to follow the schedule as it is recommended, but my girls are so sensitive that last round of vaccines we would up in the er with uncontrollable fevers.",c2366485196,nicksarmywife,a30488441,12/06/2011,schedule_noun,i would love to follow the schedule,1,,,,,,,i,i,love,love,would love,Conditional,,,,,,,,,,follow,follow,to follow,Infinite,,,,,,,schedule,schedule
3271,"i am spacing them out and thus far, it has gone amazingly well.",c2366485196,nicksarmywife,a30488441,12/06/2011,delay_verbs,i am spacing them,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,space,spacing,am spacing,PresentContinuous,,,,,,,them,them
3272,we faithfully followed the schedule for our first.,c2253629256,hk_gal,a25251353,12/04/2010,schedule_noun,we faithfully followed the schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,follow,followed,followed,PastSimple,,,,,,,schedule,schedule
3273,we go on thursday but i am considering having them space them out some.,c2339488813,leanrog2,a27605955,05/10/2011,delay_verbs,them space them,1,,,,,,,,,,,,,,,,,,,them,them,ACTIVE,space,space,space,Infinite,,,,,,,"them, some","them, some"
3274,here is a link to the vaccine schedule: and vaccines and parents and downlo...,c2408441764,AdventuresOfSuperMom,a39417556,01/22/2013,schedule_noun,is a link to the vaccine schedule,1,,,,,,,,,,,,,,,,,,,link,link,ACTIVE,be,is,is,PresentSimple,,,vaccine,vaccine,,,schedule,schedule
3275,"i fully vax my children, but on a delayed schedule, and selectively vax my dogs.",c2384468514,Jle1278,a33750523,05/30/2012,schedule_noun,"i fully vax my children, but on a delayed schedule",1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vax,vax,vax,PresentSimple,delayed,delayed,,,,,schedule,schedule
3276,"the chart on the right was the schedule i received, and my mom did not even do the last round of shots i believe so i think i had 8 total",c2484415250,kmllrmama,a55082803,02/06/2015,schedule_noun,chart on the right was the schedule,1,,,,,,,,,,,,,,,,,,,chart,chart,ACTIVE,be,was,was,PastSimple,,,,,,,schedule,schedule
3277,"i have read over half of dr sears' book because i heard so much about him, and i can not comment on his proposed vaccination schedule because i did not quite get to that part of the book, but...what i read so far has not impressed me at all.",c2038413745,sapphire617,a10178135,06/04/2009,schedule_noun,i can not comment on his proposed vaccination schedule,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,comment,comment,can comment,Conditional,propose,proposed,vaccination,vaccination,his,his,schedule,schedule
3278,i delayed vaccines until 3 months as my last two were premature and at a small weight.,c2583683181,MamaBearHeater,a71379376,02/25/2019,delay_verbs,i delayed vaccines,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,delayed,PastSimple,,,,,,,vaccine,vaccines
3279,"just so it can maybe help ease your mind, the centers for disease control and prevention , the american academy of pediatrics , the american academy of family physicians , and the american it it sounds like you can split them if you are very concerned--as the dr about that and voice your concerns, definitely!",c2218825272,ShanMerrie,a24500487,10/01/2010,delay_verbs,you can split them,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,split,split,can split,Conditional,,,,,,,them,them
3280,my pedi and i have decided with all of dear daughters health concerns that we should delay vaccinations.,c2438845482,queenmomtx,a46367965,12/12/2013,delay_verbs,we should delay vaccinations,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delay,should delay,Conditional,,,,,,,vaccination,vaccinations
3281,"i am a physician, i look at research critically and my child will be getting every damned vaccine on the schedule.",c2441684087,enjay07,a46968304,01/10/2014,schedule_noun,my child will be getting every damned vaccine on the schedule,1,,,,,,,,,,,,,,,,,my,my,child,child,ACTIVE,get,getting,will be getting,Future,,,,,,,schedule,schedule
3282,i will be selectively and delaying vaccines i think.,c2418903939,soucha,a41771614,05/05/2013,delay_verbs,i will be selectively and delaying vaccines,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delaying,delaying,Gerundive,,,,,,,vaccine,vaccines
3283,"there are forums here on both sides: non and delay and select vaccine board and pro-vax board and the ladies there can offer thier well-read input ;) also some vax can be given with one less dose if given at a later age and some are more effective at certain ages... for example, from what i have read, hib is most useful and effective under 2 yrs old.",c2418903939,soucha,a41771614,05/05/2013,delay_verbs,delay,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delay,delay,Infinite,,,,,,,,
3284,i understand delaying them though- i delayed my son's 6 month ones because he had a bad reaction at 2 mths and i did not know if it was from the shots or getting his tongue tie clipped a couple days before.,c2247206489,TaylorAna,a25221671,11/23/2010,delay_verbs,i understand delaying them,1,,,,,,,i,i,understand,understand,understand,PresentSimple,,,,,,,,,,delay,delaying,delaying,Gerundive,,,,,,,"them, though-","them, though-"
3285,i understand delaying them though- i delayed my son's 6 month ones because he had a bad reaction at 2 mths and i did not know if it was from the shots or getting his tongue tie clipped a couple days before.,c2247206489,TaylorAna,a25221671,11/23/2010,delay_verbs,i delayed my son's 6 month ones,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,delayed,PastSimple,,,month,month,son,son,one,ones
3286,i would post ob the none and select and delayed vax board shrewsbury on babycenter.,c2400864568,sophiasmommaxoxo,a37694710,11/07/2012,delay_verbs,delayed vax board shrewsbury,1,,,,,,,,,,,,,,,,,,,,,PASSIVE,delay,delayed,delayed,PastSimple,,,board,board,,,shrewsbury,shrewsbury
3287,we vaccinate mostly on schedule but i have delayed various shots depending on how i feel at the time.,c2381033074,amandavz,a33006100,04/30/2012,schedule_noun,we vaccinate mostly on schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,vaccinate,vaccinate,vaccinate,PresentSimple,,,,,,,schedule,schedule
3288,we vaccinate mostly on schedule but i have delayed various shots depending on how i feel at the time.,c2381033074,amandavz,a33006100,04/30/2012,delay_verbs,i have delayed various shots,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,have delayed,PresentPerfect,various,various,,,,,shot,shots
3289,i will be honest with you the only reason i am second guessing the no vaccine or delayed vaccination schedule is because i live in an area of north carolina that has a large population of immigrants - particularly illegal ones - and my fear is that being out day to day she will come in contact with someone that has not been vaccinated and who has one of the diseases.,c2014717341,swoodardnc,a4206295,01/13/2009,schedule_noun,i am second guessing the no vaccine or delayed vaccination schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,guess,guessing,am guessing,PresentContinuous,delay,delayed,vaccination,vaccination,,,schedule,schedule
3290,after research i vax on schedule.,c2418786770,raeanne0922,a41776834,05/03/2013,schedule_noun,i vax on schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,vax,vax,vax,PresentSimple,,,,,,,schedule,schedule
3291,i may do a delayed schedule as i did with my others just for my own piece of mind but my babies are home with their dad so are not exposed to a ton.,c2582468501,Mrs. Stallworth,a71212510,01/27/2019,schedule_noun,i may do a delayed schedule,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,do,do,may do,Conditional,delay,delayed,,,,,schedule,schedule
3292,we spaced them out in a way that he never got more than 2 in a visit.,c2408668724,jessicorr,a39466924,01/24/2013,delay_verbs,we spaced them,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,space,spaced,spaced,PastSimple,,,,,,,them,them
3293,we follow the regular schedule.,c2376150367,Izzys Mommy,a32143281,03/13/2012,schedule_noun,we follow the regular schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,follow,follow,follow,PresentSimple,regular,regular,,,,,schedule,schedule
3294,my last one i did some research and delayed her mmr and varicella by 6 months.,c2009989153,Maiadabof4,a363035,11/11/2008,delay_verbs,i did some research and delayed her mmr,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delayed,delayed,PastSimple,,,,,her,her,"mmr, varicella","mmr, varicella"
3295,had i to do it over again with all of my kids i would probably delay by 6 - 1 two months but they definitely would end up with all of their vaccines.,c2009989153,Maiadabof4,a363035,11/11/2008,delay_verbs,i would probably delay,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,delay,delay,would delay,Conditional,,,,,,,,
3296,i can understand spacing out vaccinations.,c2451555551,NewParent2B,a48974662,04/07/2014,delay_verbs,i can understand spacing out vaccinations,1,,,,,,,i,i,understand,understand,can understand,Conditional,,,,,,,,,,space,spacing,spacing,Gerundive,,,,,,,vaccination,vaccinations
3297,"dr sears is a doctor who designed an alternative vaccination schedule where children receive less vaccinations in a single visit, but receive them more often.",c2443617598,Kea822,a47373586,01/26/2014,schedule_noun,who designed an alternative vaccination schedule,1,,,,,,,,,,,,,,,,,,,who,who,ACTIVE,design,designed,designed,PastSimple,alternative,alternative,vaccination,vaccination,,,schedule,schedule
3298,"for example, i live in the netheralnds and they do not do tb vaccine here(it is not part of the national vaccination schedule.",c2541597857,ecarulan,a64320589,10/03/2016,schedule_noun,vaccine here(it is not part of the national vaccination schedule,-1,,,,,,,,,,,,,,,vaccine,vaccine,,,here(it,here(it,ACTIVE,be,is,is,PresentSimple,national,national,vaccination,vaccination,,,schedule,schedule
3299,we are delaying until at least 2 but i am not sure how long.,c2372397611,KRAMV,a31557063,02/06/2012,delay_verbs,we are delaying,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,are delaying,PresentContinuous,,,,,,,,
3300,my pediatrician is fine with us delaying and is very good about talking everything over with us.,c2372397611,KRAMV,a31557063,02/06/2012,delay_verbs,us delaying,1,,,,,,,,,,,,,,,,,,,us,us,ACTIVE,delay,delaying,delaying,Gerundive,,,,,,,,
3301,i mentioned delaying them to my breastfeed but he is skeptical in doing that-but he does not do any research.,c2378183129,js_diaz,a32492909,04/03/2012,delay_verbs,i mentioned delaying them,1,,,,,,,i,i,mention,mentioned,mentioned,PastSimple,,,,,,,,,,delay,delaying,delaying,Gerundive,,,,,,,them,them
3302,"i had already decided to vaccinate on schedule, but it has nice to reinforce my reasons through credible sources.",c2111197804,sayrah999,a21483567,02/02/2010,schedule_noun,i had already decided to vaccinate on schedule,1,,,,,,,i,i,decide,decided,had decided,PastPerfect,,,,,,,,,,vaccinate,vaccinate,to vaccinate,Infinite,,,,,,,schedule,schedule
3303,i was comfortable with her answers to my questions and it helped to know that she has a 5 month old and is following the cdc schedule.,c2385639154,Jacs12,a34042690,06/11/2012,schedule_noun,she has a 5 month old and is following the cdc schedule,1,,,,,,,,,,,,,,,,,,,she,she,ACTIVE,follow,following,is following,PresentContinuous,,,cdc,cdc,,,schedule,schedule
3304,i prefer to space things out a bit.,c2385639154,Jacs12,a34042690,06/11/2012,delay_verbs,i prefer to space things,1,,,,,,,i,i,prefer,prefer,prefer,PresentSimple,,,,,,,,,,space,space,to space,Infinite,,,,,,,thing,things
3305,i have been trying to keep her on schedule.,c2415576966,ehobson258,a41039443,04/01/2013,schedule_noun,i have been trying to keep her on schedule,1,,,,,,,i,i,try,trying,have been trying,PerfectContinuous,,,,,,,,,,keep,keep,to keep,Infinite,,,,,,,schedule,schedule
3306,we are not on a super strict schedule but i go off her cues and follow that.,c2415576966,ehobson258,a41039443,04/01/2013,schedule_noun,we are not on a super strict schedule,-1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,be,are,are,PresentSimple,strict,strict,,,,,schedule,schedule
3307,go figure that her morning nap was delayed this morning due to a vet appt and she went right down when we got home without a fuss.,c2415576966,ehobson258,a41039443,04/01/2013,delay_verbs,her morning nap was delayed,1,,,,,,,,,,,,,,,morning,morning,her,her,nap,nap,PASSIVE,delay,delayed,was delayed,PastPassive,,,,,,,,
3308,my pedi follows dr sears' alternative schedule which spaces out the vaccines.,c2447405743,amandamarie211,a48140401,02/28/2014,schedule_noun,my pedi follows dr sears' alternative schedule,1,,,,,,,,,,,,,,,,,my,my,pedi,pedi,ACTIVE,follow,follows,follows,PresentSimple,alternative,alternative,,,sears,sears,schedule,schedule
3309,my pedi follows dr sears' alternative schedule which spaces out the vaccines.,c2447405743,amandamarie211,a48140401,02/28/2014,delay_verbs,which spaces out the vaccines,1,,,,,,,,,,,,,,,,,,,which,which,ACTIVE,space,spaces,spaces,PresentSimple,,,,,,,vaccine,vaccines
3310,"i would never follow the cdc's schedule and give my kids 5 vaccines at once, that is insane.",c2447405743,amandamarie211,a48140401,02/28/2014,schedule_noun,i would never follow the cdc's schedule,-1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,follow,follow,would follow,Conditional,,,,,cdc,cdc,schedule,schedule
3311,"just do your research--you are the mom, you will make the right decision i can reccommend spacing them out as previous poster suggested.",c2420957924,kgunz,a42249547,05/27/2013,delay_verbs,i can reccommend spacing them,1,,,,,,,i,i,reccommend,reccommend,can reccommend,Conditional,,,,,,,,,,space,spacing,spacing,Gerundive,,,,,,,them,them
3312,just because you say you will be doing it on a delayed schedule does not subsitute for actually verbally telling the doctor and and or nurse each time it has vax time.,c2011405766,jenden31,a3132895,12/08/2008,schedule_noun,you will be doing it on a delayed schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,do,doing,will be doing,Future,delayed,delayed,,,,,schedule,schedule
3313,"so while i could understand you being wary and maybe following a modified schedule, doing one shot at a time so you can better pinpoint the cause of any reaction , delaying the mmr shot because of autism concerns is nonsense.",c2482457209,tlflag,a54774709,01/21/2015,schedule_noun,you being wary and maybe following a modified schedule,1,,,,,,,,,,,,,,,,,,,you,you,ACTIVE,follow,following,following,Gerundive,modify,modified,,,,,schedule,schedule
3314,my son was vaccinated on the normal schedule as will this baby.,c2365355696,amolden,a30400851,11/23/2011,schedule_noun,my son was vaccinated on the normal schedule,1,,,,,,,,,,,,,,,,,my,my,son,son,PASSIVE,vaccinate,vaccinated,was vaccinated,PastPassive,normal,normal,,,,,schedule,schedule
3315,"we are doing basically the normal vaccine schedule, but hep b is the main one we will delay, since there is no clear medical reason for us to do it at birth.",c2449506111,Unaragazza,a48580465,03/19/2014,schedule_noun,we are doing basically the normal vaccine schedule,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,do,doing,are doing,PresentContinuous,normal,normal,vaccine,vaccine,,,schedule,schedule
3316,"we are doing basically the normal vaccine schedule, but hep b is the main one we will delay, since there is no clear medical reason for us to do it at birth.",c2449506111,Unaragazza,a48580465,03/19/2014,delay_verbs,we will delay,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delay,will delay,Future,,,,,,,,
3317,we were going to delay but then decided to just go for it.,c2394966308,stanciu22,a36317950,09/10/2012,delay_verbs,we were going to delay,1,,,,,,,we,we,go,going,were going,PastContinuous,,,,,,,,,,delay,delay,to delay,Infinite,,,,,,,,
3318,"currently, all pediatric vaccines in the routine infant immunization schedule are manufactured without thimerosal as a preservative.",c2367948254,ernurseali,a30828133,12/22/2011,schedule_noun,pediatric vaccines in the routine infant immunization schedule are manufactured,1,,,,,,,,,,,,,pediatric,pediatric,,,,,vaccine,vaccines,PASSIVE,manufacture,manufactured,are manufactured,PresentPassive,routine,routine,"immunization, infant","immunization, infant",,,schedule,schedule
3319,"they always give more than one vaccination at a time, unless you make them do your own schedule.",c2523324283,Love_My_Littles,a61441624,02/12/2016,schedule_noun,them do your own schedule,1,,,,,,,,,,,,,,,,,,,them,them,ACTIVE,do,do,do,Infinite,own,own,,,your,your,schedule,schedule
3320,"i split them up, 2 last week and 2 this week.",c2397801071,Arkhouse09,a36995926,10/08/2012,delay_verbs,i split them,1,,,,,,,,,,,,,,,,,,,i,i,ACTIVE,split,split,split,PastSimple,,,,,,,them,them
3321,i love my doctor in south portland and we are selectively delaying vaxes... she has been great.,c2019966351,Lara00,a5857575,02/22/2009,delay_verbs,we are selectively delaying vaxes,1,,,,,,,,,,,,,,,,,,,we,we,ACTIVE,delay,delaying,are delaying,PresentContinuous,,,,,,,vaxe,vaxes
3322,"true, it has not a one-size-fits-all schedule, but it has a one-size-fits-99% schedule.",c2496924411,Kyasi,a57158626,05/30/2015,schedule_noun,it has not a one-size-fits-all schedule,-1,,,,,,,,,,,,,,,,,,,it,it,ACTIVE,have,has,has,PresentSimple,,,all,all,,,schedule,schedule
3323,"true, it has not a one-size-fits-all schedule, but it has a one-size-fits-99% schedule.",c2496924411,Kyasi,a57158626,05/30/2015,schedule_noun,it has a one-size-fits-99% schedule,1,,,,,,,,,,,,,,,,,,,it,it,ACTIVE,have,has,has,PresentSimple,,,%,%,,,schedule,schedule
3324,"waiting a week is not a huge deal if it would make you more comfortable, it has not going to hurt the vaccination schedule or anything like that if you are worried about that angle.",c2485480336,lisiejacobs1,a55292599,02/16/2015,schedule_noun,it has not going to hurt the vaccination schedule,-1,,,,,,,it,it,go,going,has going,PerfectContinuous,,,,,,,,,,hurt,hurt,to hurt,Infinite,,,vaccination,vaccination,,,schedule,schedule
3325,"breast feeding as long as i can, vaccines on schedule, pro circ, natural birth, babies sleep in their cribs in their rooms, if baby wants a binky then i do not care.",c2472625210,LeoWifeWinter,a53063143,10/20/2014,schedule_noun,"schedule, pro circ, natural birth, babies sleep",1,,,,,,,,,,,,,,,,,,,baby,babies,ACTIVE,sleep,sleep,sleep,PresentSimple,,,,,,,schedule,schedule
